Secretaría,Total,Corte,Tribunal,Informe,Año,Mes,Competencia
Civil-Ant,49,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Cobranza-Ant,2,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Crimen-Ant,14,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Exhorto-Ant,2,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Familia-Ant,16,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Pleno Y Otros Adm,73,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Policía Local-Ant,6,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Queja-Ilegalidades-Hechos-Ant,7,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Recursos De Amparo-Ant,47,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Recursos De Protección-Ant,81,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Reforma Laboral-Ant,8,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Reforma Procesal Penal-Ant,40,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
Tributario Y Aduanero-Ant,1,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Abríl,Sin Competencia
