Secretaría,Total,Corte,Tribunal,Informe,Año,Mes,Competencia
Civil,30,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Crimen,3,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Exhorto,1,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Familia,7,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Pleno,86,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Policía Local,6,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Queja-Ilegalidades-Hechos,7,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Recursos De Amparo,38,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Recursos De Protección,62,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Reforma Laboral,7,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Reforma Procesal Penal,37,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
Tributario Y Aduanero,4,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Enero,Sin Competencia
